name, notation, gun_name
USSLowa(BB-61), U, 50-caliberMark7gun
MSKingGeorgeV, M, (356mm)MarkVIIgun
Richelieu, R, (15inch)Mle1935gun
SovetskySoyuz-class, S, (16inch)B-37gun
