name,notation,gun_name
USSLowa , U, 50-caliberMark7gun
MSKingGeorgev , M, (356mm)MarkVIIgun
Richelieu , R, (15inch)Mle1935gun
SovetskySoyuz-class , S, (16inch)B-37gun
